feature,b,q,q_eff,N,n_spk,I_raw,I_mm,I_null_mean,I_null_p95,I_corrected,NMI_corrected,perm_p,deficient
LHR,5,32,32,6300,630,2.097593318357072,1.5904745615239595,1.9434537342626408,1.9563426709640068,0.0,0.0,0.0,False
LHR,6,64,64,6300,630,2.903365838803463,2.3384247807283725,2.8130823918133943,2.8231176587280333,0.0,0.0,0.0,False
LHR,7,128,128,6300,630,3.7904985934981497,3.1952151397218227,3.7457430872518556,3.7529898445829124,0.0,0.0,0.0,False
LHR,8,256,256,6300,630,4.730252491904867,4.1287860593818735,4.711169055000713,4.7162062092639365,0.0,0.0,0.0,False
MFDR,1,2,2,6290,630,0.505610955835607,0.45916489132368093,0.07683051401455511,0.08418930906718289,0.38233437730912584,0.04111472466828765,0.0,False
MFDR,2,4,4,6290,630,0.8719400330206799,0.7495747223188894,0.24709151437663862,0.2622259849054089,0.5024832079422508,0.0540350540550005,0.0,False
MFDR,3,8,8,6290,630,1.210202112123337,0.9793479692529489,0.60580579517613,0.6207015094506049,0.3735421740768189,0.04016924595494753,0.0,False
MFDR,4,16,16,6290,630,1.6486918578056837,1.2915732284473187,1.1880741640499872,1.2029870449176268,0.10349906439733148,0.011129879468518532,0.0,False
MFDR,5,32,32,6290,630,2.2536056335682932,1.7912092579828958,1.9456766490468655,1.9607410122455649,0.0,0.0,0.0,False
MFDR,6,64,64,6290,630,3.0041376104589936,2.4704092543145393,2.8153625250184655,2.824678246495683,0.0,0.0,0.0,False
MFDR,7,128,128,6290,630,3.8572022900875265,3.2834500413142766,3.748551600594057,3.7565064448113112,0.0,0.0,0.0,False
MFDR,8,256,256,6290,630,4.771598187134032,4.183854778186819,4.713147963320957,4.718351372532408,0.0,0.0,0.0,False
NAQ,1,2,2,6290,630,0.5935012639225477,0.555312277546075,0.07621728020667173,0.08388423517585242,0.4790949973394033,0.051519978517750226,0.0,False
NAQ,2,4,4,6290,630,1.0350009151502029,0.9359159775247605,0.24627124856856383,0.25839423534613803,0.6896447289561967,0.07416166275585678,0.0,False
